"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Brunei Darussalam"," 1957","152.33 [147.58-157.36]","164.02 [158.05-170.14]","140.06 [134.65-145.76]","458 [444-474]","254 [246-265]","204 [196-212]"
"Brunei Darussalam"," 1956","157.83 [153.1-162.8]","170.02 [164.05-176.35]","145 [139.48-150.7]","453 [439-467]","252 [243-261]","201 [193-209]"
"Brunei Darussalam"," 1955","162.4 [157.48-167.56]","174.9 [168.58-181.35]","149.29 [143.66-155.36]","443 [430-458]","246 [238-256]","197 [189-205]"
"Brunei Darussalam"," 1954","167.88 [162.74-173.15]","180.66 [174.1-187.33]","154.47 [148.57-160.76]","","",""
"Brunei Darussalam"," 1953","175.17 [169.77-180.72]","188.1 [181.19-195.21]","161.56 [155.29-168.07]","","",""
"Brunei Darussalam"," 1952","184.77 [178.9-190.96]","197.88 [190.54-205.65]","171.07 [164.23-178.21]","","",""
"Brunei Darussalam"," 1951","197.1 [190.13-204.59]","210.39 [201.74-219.4]","183.2 [175.17-191.7]","","",""
"Brunei Darussalam"," 1950","211.68 [201.75-222.18]","225.3 [213.72-237.65]","197.47 [186.9-208.76]","","",""
"Brunei Darussalam"," 1949","227.84 [213.14-243.91]","","","","",""
"Brunei Darussalam"," 1948","245.2 [223.36-269.85]","","","","",""
"Brunei Darussalam"," 1947","263.76 [232.87-300.52]","","","","",""
"Brunei Darussalam"," 1946","283.47 [240.87-335.36]","","","","",""
"Brunei Darussalam"," 1945","304.72 [248.55-375.91]","","","","",""
"Cambodia"," 2021","24.76 [12.19-50.61]","27.6 [13.54-56.37]","21.84 [10.77-44.48]","8 013 [3 950-16 353]","4 572 [2 249-9 326]","3 441 [1 700-7 011]"
"Cambodia"," 2020","25.79 [13.08-50.5]","28.71 [14.56-56.29]","22.73 [11.53-44.46]","8 451 [4 291-16 513]","4 820 [2 448-9 430]","3 631 [1 845-7 089]"
"Cambodia"," 2019","26.81 [14.15-50.16]","29.81 [15.71-55.88]","23.63 [12.46-44.37]","8 893 [4 700-16 597]","5 069 [2 674-9 483]","3 824 [2 018-7 169]"
"Cambodia"," 2018","27.83 [15.45-49.77]","30.92 [17.13-55.07]","24.54 [13.61-43.85]","9 349 [5 196-16 698]","5 326 [2 951-9 459]","4 023 [2 234-7 176]"
